subject,condition,region,CMRO2,network,confidence,confidence_z,reaction_time,reaction_time_z
sub01,predictable,LH_Vis_1,92.032,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_2,144.519,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_3,113.576,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_4,86.461,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_5,92.276,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_6,133.714,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_7,90.9,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_8,84.847,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_9,126.849,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_10,105.743,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_11,172.73,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_12,197.217,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_13,77.145,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_14,181.499,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_15,186.113,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_16,100.916,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_17,152.174,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_18,155.196,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_19,210.774,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_20,104.918,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_21,152.796,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_22,112.969,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_23,148.265,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_24,196.319,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_25,204.232,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_26,172.851,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_27,171.242,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_28,163.642,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_29,197.166,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_30,198.712,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_31,146.868,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_1,114.825,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_2,133.651,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_3,99.316,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_4,63.322,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_5,85.084,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_6,141.039,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_7,97.346,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_8,56.957,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_9,152.931,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_10,80.176,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_11,103.714,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_12,137.157,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_13,195.489,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_14,147.294,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_15,155.381,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_16,176.724,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_17,165.901,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_18,121.277,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_19,153.272,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_20,162.303,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_21,253.449,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_22,169.557,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_23,99.277,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_24,137.708,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_25,124.083,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_26,157.323,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_27,154.245,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_28,108.376,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_29,119.315,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_30,189.138,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_31,54.828,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_32,202.659,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_33,111.728,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_34,142.644,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_35,143.822,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_36,152.033,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_37,155.535,SomatoMotor,5.625,1.05,0.453,-2.145
