subject,condition,region,CMRO2,network,confidence,confidence_z,reaction_time,reaction_time_z
sub01,predictable,LH_Vis_1,125.63925018191614,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_2,115.7236707064493,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_3,105.8143792049406,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_4,191.28131645972,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_5,160.77259358024816,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_6,128.69586907085616,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_7,136.92684418547364,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_8,180.33074685688624,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Vis_9,198.79918452459407,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_1,128.09776205000028,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_2,75.16515309769454,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_3,104.65023056851965,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_4,164.5580060484244,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_5,159.61456488651675,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SomMot_6,129.12170930777893,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,LH_DorsAttn_Post_1,88.78812441466374,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_DorsAttn_Post_2,167.0080595760247,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_DorsAttn_Post_3,136.55583746014818,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_DorsAttn_Post_4,118.26641117963466,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_DorsAttn_Post_5,119.55212145336348,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_DorsAttn_Post_6,159.0908380327448,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_DorsAttn_FEF_1,161.78616004473528,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_DorsAttn_FEF_2,168.93563053154006,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SalVentAttn_ParOper_1,132.02382376989038,SalVentAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SalVentAttn_FrOper_1,83.93604316796862,SalVentAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SalVentAttn_FrOper_2,88.72579531889218,SalVentAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SalVentAttn_PFCl_1,159.92704101710717,SalVentAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SalVentAttn_Med_1,91.97527819733762,SalVentAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SalVentAttn_Med_2,89.03082428928775,SalVentAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_SalVentAttn_Med_3,99.34650746667614,SalVentAttn,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Cont_Par_1,118.04693351171484,Control,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Cont_PFCl_1,160.03168336706915,Control,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Cont_pCun_1,159.98138784286647,Control,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Cont_Cing_1,82.36845463974313,Control,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_Temp_1,135.13844536394524,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_Temp_2,141.07639370505063,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_Temp_3,109.65800599392384,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_Temp_4,133.95626772764376,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_PFC_1,105.9437993837659,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_PFC_2,154.79523572445086,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_PFC_3,146.11231172878234,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_PFC_4,187.79732512212675,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_PFC_5,116.34815985753586,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_PFC_6,169.48852245970593,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_PFC_7,108.71412524567933,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_PCC_1,130.54302166985954,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,LH_Default_PCC_2,141.2241596863198,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Vis_1,128.22637409159634,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Vis_2,87.10812050300655,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Vis_3,122.1792759971286,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Vis_4,175.88462271233027,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Vis_5,170.46370153283613,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Vis_6,135.93431000574867,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Vis_7,156.19512935258584,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Vis_8,193.1585009550477,Visual,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SomMot_1,136.9436830014174,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SomMot_2,79.10818565236292,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SomMot_3,134.03309876839057,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SomMot_4,194.633485767214,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SomMot_5,88.92128422330363,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SomMot_6,139.18007306629767,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SomMot_7,103.7292167415508,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SomMot_8,154.52375957398007,SomatoMotor,5.625,1.05,0.453,-2.145
sub01,predictable,RH_DorsAttn_Post_1,146.02367807835293,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,RH_DorsAttn_Post_2,125.35039988820384,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,RH_DorsAttn_Post_3,111.86335549045428,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,RH_DorsAttn_Post_4,150.20318513560926,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,RH_DorsAttn_Post_5,123.8632652198408,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,RH_DorsAttn_FEF_1,162.85183343603637,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,RH_DorsAttn_FEF_2,180.64949323857945,DorsAttn,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SalVentAttn_TempOccPar_1,134.34122765995008,SalVentAttn,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SalVentAttn_TempOccPar_2,121.53833976870398,SalVentAttn,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SalVentAttn_FrOper_1,81.84741745665008,SalVentAttn,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SalVentAttn_Med_1,99.56736784812423,SalVentAttn,5.625,1.05,0.453,-2.145
sub01,predictable,RH_SalVentAttn_Med_2,128.2448543746988,SalVentAttn,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Cont_Par_1,125.61397126694492,Control,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Cont_Par_2,153.07376441429383,Control,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Cont_PFCl_1,150.05593498679232,Control,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Cont_PFCl_2,162.85061917245037,Control,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Cont_PFCl_3,133.5121656037794,Control,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Cont_PFCl_4,143.670705345041,Control,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Cont_PFCmp_1,108.91871053077902,Control,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Cont_PFCmp_2,126.59158966553916,Control,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Cont_PFCmp_3,137.79372596619314,Control,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Default_Par_1,141.88293068890516,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Default_Temp_1,176.90735116730747,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Default_Temp_2,136.61943602426055,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Default_Temp_3,121.21859403367056,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Default_PFCv_1,130.06662614842975,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Default_PFCv_2,163.10756618058457,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Default_PFCm_1,159.08613193315912,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Default_PFCm_2,124.86724168511785,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Default_PFCm_3,180.4144749608417,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Default_PCC_1,113.884902102889,DefaultMode,5.625,1.05,0.453,-2.145
sub01,predictable,RH_Default_PCC_2,179.45979724747022,DefaultMode,5.625,1.05,0.453,-2.145
sub01,unpredictable,LH_Vis_1,92.20379695545272,Visual,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_Vis_2,109.95229703161716,Visual,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_Vis_3,98.12941922836453,Visual,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_Vis_4,179.15660131436752,Visual,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_Vis_5,135.818913533257,Visual,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_Vis_6,110.988351124723,Visual,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_Vis_7,121.37593855338764,Visual,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_Vis_8,158.7906466835917,Visual,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_Vis_9,173.23602393394117,Visual,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SomMot_1,104.70384386877224,SomatoMotor,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SomMot_2,63.68907915193584,SomatoMotor,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SomMot_3,90.7896911554056,SomatoMotor,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SomMot_4,134.2381328244573,SomatoMotor,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SomMot_5,124.4494911516257,SomatoMotor,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SomMot_6,117.68825679701352,SomatoMotor,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_DorsAttn_Post_1,81.25668026333445,DorsAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_DorsAttn_Post_2,143.02307344894103,DorsAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_DorsAttn_Post_3,122.82773489441742,DorsAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_DorsAttn_Post_4,92.66681185684024,DorsAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_DorsAttn_Post_5,98.16557119816136,DorsAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_DorsAttn_Post_6,118.1830564689254,DorsAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_DorsAttn_FEF_1,133.77702996139,DorsAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_DorsAttn_FEF_2,146.16090498907204,DorsAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SalVentAttn_ParOper_1,116.48403041117965,SalVentAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SalVentAttn_FrOper_1,58.922062494551575,SalVentAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SalVentAttn_FrOper_2,83.43199545468771,SalVentAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SalVentAttn_PFCl_1,141.02710630139987,SalVentAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SalVentAttn_Med_1,67.78333124423357,SalVentAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SalVentAttn_Med_2,86.34903321960164,SalVentAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_SalVentAttn_Med_3,89.95101972859385,SalVentAttn,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_Cont_Par_1,94.7519201796632,Control,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_Cont_PFCl_1,147.80571116867674,Control,1.375,-1.4240000000000002,0.5,-0.838
sub01,unpredictable,LH_Cont_pCun_1,143.36939653333184,Control,1.375,-1.4240000000000002,0.5,-0.838
