"Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p","Effects","p_fdr"
"(Intercept)",138.396928582583,3.76719278229349,0.95,131.013169880094,145.780687285072,36.7374160497107,45475,3.44776117147828e-291,"fixed",9.99850739728702e-290
"networkControl",10.9663259324982,1.51393608313657,0.95,7.99898675585371,13.9336651091426,7.24358581227427,45475,4.43887028399478e-13,"fixed",3.21818095589622e-12
"networkDefaultMode",8.3118063329531,1.32524292473617,0.95,5.71430879462026,10.9093038712859,6.27191149472301,45475,3.59841262122564e-10,"fixed",2.08707932031087e-09
"networkDorsAttn",0.65951724383701,1.55594270536172,0.95,-2.39015559087639,3.70919007855041,0.423869877447503,45475,0.671662718264867,"fixed",0.695650672488612
"networkSalVentAttn",-17.5242064277964,1.5466474917677,0.95,-20.5556604937255,-14.4927523618673,-11.3304463499744,45475,1.0165069932731e-29,"fixed",1.473935140246e-28
"networkSomatoMotor",-11.1840424238623,1.36561988173489,0.95,-13.8606794500973,-8.50740539762737,-8.18971851058151,45475,2.68584126124635e-16,"fixed",2.59631321920481e-15
"conditionsurprising",-4.3544803770695,2.36500418378369,0.95,-8.98992677777222,0.28096602363322,-1.84121466123705,45475,0.0655966170633081,"fixed",0.14633091498738
"conditionunpredictable",-5.06717269195233,3.24900682374099,0.95,-11.435278545733,1.30093316182837,-1.55960666346581,45475,0.118859819639388,"fixed",0.191496376085681
"conditionsurprising:networkControl",-2.48566966915681,1.76411717241107,0.95,-5.94336782180358,0.97202848348997,-1.4090161969001,45475,0.158837216486832,"fixed",0.230313963905906
"conditionunpredictable:networkControl",6.92513165814473,2.46181706707619,0.95,2.09993044242857,11.7503328738609,2.81301634908619,45475,0.00491001960426825,"fixed",0.0142390568523779
"conditionsurprising:networkDefaultMode",-2.27370206717752,1.54398218120382,0.95,-5.29993208135029,0.752527946995246,-1.47262196083426,45475,0.140859920651192,"fixed",0.214996720993925
"conditionunpredictable:networkDefaultMode",1.05709864489818,2.15493710046364,0.95,-3.16661287941029,5.28081016920665,0.490547331831981,45475,0.623749012128601,"fixed",0.695650672488612
"conditionsurprising:networkDorsAttn",-2.34268377386798,1.8131086916449,0.95,-5.89640609554354,1.21103854780758,-1.29208126609477,45475,0.196335568841933,"fixed",0.271130071257908
"conditionunpredictable:networkDorsAttn",-2.91246642470922,2.52998497153453,0.95,-7.87127783423877,2.04634498482034,-1.15117933801113,45475,0.249664516316896,"fixed",0.314794390138695
"conditionsurprising:networkSalVentAttn",-0.805290351015006,1.80261163052962,0.95,-4.33843826335192,2.72785756132191,-0.446735357398312,45475,0.655068277089342,"fixed",0.695650672488612
"conditionunpredictable:networkSalVentAttn",4.34551845914817,2.51482592222632,0.95,-0.58358096888232,9.27461788717867,1.72795994376469,45475,0.0840021948787971,"fixed",0.174004546534651
"conditionsurprising:networkSomatoMotor",-0.961174362506513,1.59148149205406,0.95,-4.08050379317349,2.15815506816047,-0.603949444153424,45475,0.545880267250646,"fixed",0.633221110010749
"conditionunpredictable:networkSomatoMotor",2.31035231105216,2.22070675558009,0.95,-2.04226879962214,6.66297342172646,1.04036802934328,45475,0.298174480315186,"fixed",0.360294163714184
"confidence_z",-6.16256352682206,2.10398413055616,0.95,-10.2864064070993,-2.03872064654484,-2.92899715227085,45475,0.00340226306359441,"fixed",0.0109628476493598
"conditionsurprising:confidence_z",6.58656695701356,2.02881345785073,0.95,2.61005980942555,10.5630741046016,3.24651186215573,45475,0.00116913130477601,"fixed",0.00423810097981302
"conditionunpredictable:confidence_z",4.9658788017069,3.1604497201824,0.95,-1.22865369868946,11.1604113021033,1.57125701763112,45475,0.116129917999034,"fixed",0.191496376085681
"confidence_z:networkControl",4.93742738347653,1.09187938152753,0.95,2.79732615921322,7.07752860773983,4.52195312688211,45475,6.14261555222228e-06,"fixed",2.96893085024077e-05
"confidence_z:networkDefaultMode",1.20118231590701,0.956195506497032,0.95,-0.672976321676686,3.07534095349071,1.25620995679793,45475,0.209046311131434,"fixed",0.275561046491435
"confidence_z:networkDorsAttn",-1.77172347222463,1.123367857903,0.95,-3.97354261879822,0.430095674348957,-1.5771534317636,45475,0.114767181034212,"fixed",0.191496376085681
"confidence_z:networkSalVentAttn",2.77517912722132,1.11665264929481,0.95,0.5865218979865,4.96383635645614,2.48526623652746,45475,0.0129490239014119,"fixed",0.0341383357400859
"confidence_z:networkSomatoMotor",1.61292924720176,0.986183255251327,0.95,-0.320005862314374,3.5458643567179,1.63552690497743,45475,0.101945560111349,"fixed",0.191496376085681
"reaction_time_z",-5.70912041324955,1.48154605319412,0.95,-8.61297460803018,-2.80526621846893,-3.8534883211636,45475,0.000116606657958087,"fixed",0.00048308472582636
"conditionsurprising:reaction_time_z",-0.616315426141168,1.6142009011913,0.95,-3.78017526569005,2.54754441340771,-0.381808376941383,45475,0.702605288778076,"fixed",0.702605288778076
"conditionunpredictable:reaction_time_z",3.69217205804698,1.51211245827017,0.95,0.728407215596582,6.65593690049738,2.44173112776993,45475,0.0146208121458759,"fixed",0.0353336293525334
