subject,unpredictable_RT,predictable_RT,RT_pctchange
sub01,0.408,0.242,-40.68627450980392
sub02,0.365,0.32,-12.328767123287667
sub03,0.333,0.174,-47.74774774774775
sub04,0.352,0.28,-20.454545454545443
sub05,0.317,0.257,-18.92744479495268
sub06,0.315,0.333,5.71428571428572
sub07,0.367,0.226,-38.41961852861035
sub08,0.34,0.331,-2.647058823529414
sub09,0.344,0.224,-34.883720930232556
sub10,0.36,0.329,-8.611111111111104
sub11,0.367,0.349,-4.90463215258856
sub12,0.357,0.354,-0.8403361344537823
sub13,0.382,0.348,-8.900523560209432
sub14,0.372,0.332,-10.752688172043005
sub15,0.463,0.459,-0.8639308855291584
sub16,0.352,0.279,-20.73863636363635
sub17,0.39,0.329,-15.64102564102564
sub18,0.373,0.362,-2.9490616621983943
sub19,0.367,0.268,-26.97547683923705
sub20,0.322,0.228,-29.19254658385093
sub21,0.441,0.308,-30.15873015873016
sub22,0.335,0.318,-5.074626865671647
sub23,0.403,0.355,-11.910669975186114
sub24,0.47,0.419,-10.851063829787233
sub25,0.335,0.322,-3.8805970149253763
sub26,0.376,0.271,-27.925531914893615
sub27,0.32,0.242,-24.375000000000004
sub28,0.341,0.277,-18.7683284457478
sub29,0.371,0.385,3.7735849056603805
sub30,0.448,0.41,-8.482142857142865
sub31,0.372,0.37,-0.5376344086021511
sub32,0.314,0.349,11.146496815286616
sub33,0.413,0.459,11.138014527845048
sub34,0.328,0.3,-8.536585365853666
sub35,0.417,0.483,15.827338129496404
sub36,0.367,0.231,-37.05722070844686
sub37,0.483,0.439,-9.10973084886128
sub38,0.323,0.315,-2.4767801857585163
sub39,0.33,0.319,-3.333333333333336
sub40,0.369,0.251,-31.97831978319783
sub41,0.364,0.292,-19.78021978021978
