subject,day,condition,choice_correct,confidence
sub01,1,unpredictable,True,4
sub01,1,predictable,True,2
sub01,1,unpredictable,False,1
sub01,1,unpredictable,False,1
sub01,1,unpredictable,False,4
sub01,1,predictable,False,2
sub01,1,unpredictable,True,2
sub01,1,predictable,True,7
sub01,1,predictable,True,7
sub01,1,unpredictable,True,1
sub01,1,unpredictable,False,2
sub01,1,predictable,False,1
sub01,1,predictable,True,3
sub01,1,predictable,False,3
sub01,1,predictable,False,1
sub01,1,unpredictable,False,1
sub02,1,unpredictable,False,1
sub02,1,predictable,False,1
sub02,1,predictable,False,1
sub02,1,predictable,False,1
sub02,1,predictable,False,1
sub02,1,unpredictable,False,2
sub02,1,unpredictable,False,1
sub02,1,unpredictable,True,2
sub02,1,unpredictable,False,3
sub02,1,predictable,False,1
sub02,1,unpredictable,True,1
sub02,1,unpredictable,False,1
sub02,1,unpredictable,False,2
sub02,1,predictable,False,2
sub02,1,predictable,False,1
sub02,1,predictable,False,3
sub03,1,predictable,True,3
sub03,1,unpredictable,False,2
sub03,1,unpredictable,False,2
sub03,1,predictable,True,6
sub03,1,unpredictable,False,3
sub03,1,unpredictable,False,4
sub03,1,unpredictable,False,5
sub03,1,unpredictable,False,3
sub03,1,unpredictable,False,4
sub03,1,predictable,True,1
sub03,1,predictable,True,7
sub03,1,predictable,True,6
sub03,1,predictable,False,2
sub03,1,predictable,False,3
sub03,1,predictable,True,4
sub03,1,unpredictable,False,5
sub04,1,predictable,True,2
sub04,1,unpredictable,False,3
sub04,1,unpredictable,False,2
sub04,1,predictable,True,3
sub04,1,unpredictable,True,2
sub04,1,unpredictable,True,2
sub04,1,unpredictable,False,3
sub04,1,unpredictable,True,2
sub04,1,predictable,True,4
sub04,1,predictable,True,3
sub04,1,predictable,True,3
sub04,1,unpredictable,True,2
sub04,1,predictable,False,3
sub04,1,unpredictable,False,2
sub04,1,predictable,True,6
sub04,1,predictable,True,3
sub05,1,predictable,False,6
sub05,1,predictable,False,4
sub05,1,unpredictable,False,3
sub05,1,unpredictable,False,3
sub05,1,predictable,True,6
sub05,1,predictable,False,2
sub05,1,unpredictable,False,5
sub05,1,unpredictable,True,2
sub05,1,unpredictable,False,4
sub05,1,predictable,False,3
sub05,1,unpredictable,False,4
sub05,1,predictable,True,7
sub05,1,unpredictable,True,2
sub05,1,predictable,False,5
sub05,1,unpredictable,True,3
sub05,1,predictable,True,6
sub06,1,predictable,True,4
sub06,1,unpredictable,False,2
sub06,1,unpredictable,False,2
sub06,1,predictable,False,2
sub06,1,unpredictable,False,2
sub06,1,unpredictable,False,4
sub06,1,unpredictable,False,1
sub06,1,unpredictable,False,1
sub06,1,unpredictable,False,2
sub06,1,unpredictable,False,5
sub06,1,predictable,False,2
sub06,1,predictable,True,6
sub06,1,predictable,False,2
sub06,1,predictable,True,7
sub06,1,predictable,True,7
sub06,1,predictable,True,7
sub07,1,unpredictable,True,5
sub07,1,predictable,False,2
sub07,1,unpredictable,False,5
sub07,1,unpredictable,False,2
sub07,1,unpredictable,True,7
sub07,1,predictable,True,7
sub07,1,predictable,False,2
sub07,1,unpredictable,True,4
sub07,1,predictable,True,3
sub07,1,predictable,False,6
sub07,1,unpredictable,False,2
sub07,1,predictable,False,7
sub07,1,unpredictable,True,1
sub07,1,predictable,False,3
sub07,1,predictable,False,4
sub07,1,unpredictable,False,3
sub08,1,predictable,True,7
sub08,1,unpredictable,False,2
sub08,1,unpredictable,True,1
sub08,1,predictable,True,6
sub08,1,unpredictable,False,2
sub08,1,unpredictable,True,3
sub08,1,predictable,True,4
sub08,1,predictable,False,1
sub08,1,unpredictable,True,2
sub08,1,predictable,False,5
sub08,1,unpredictable,False,4
sub08,1,predictable,True,6
sub08,1,unpredictable,True,2
sub08,1,predictable,True,7
sub08,1,unpredictable,True,1
sub08,1,predictable,True,2
sub09,1,unpredictable,False,1
sub09,1,predictable,True,7
sub09,1,unpredictable,True,2
sub09,1,unpredictable,False,1
sub09,1,unpredictable,False,1
sub09,1,predictable,True,7
sub09,1,unpredictable,True,1
sub09,1,unpredictable,False,2
sub09,1,predictable,False,5
sub09,1,predictable,True,2
sub09,1,predictable,True,3
sub09,1,predictable,True,7
sub09,1,unpredictable,False,1
sub09,1,unpredictable,False,4
sub09,1,predictable,False,1
sub09,1,predictable,False,1
sub10,1,predictable,False,7
sub10,1,unpredictable,False,4
sub10,1,predictable,True,7
sub10,1,unpredictable,True,2
